condition,samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier,false_positive_rate,false_negative_rate
clean,20000,0.9783,0.9783,0.9693817468105986,0.9878,0.978504210004953,0.99786471,0.017828586405109495,0.0312,0.0122
jpeg_90,20000,0.9776,0.9776,0.9704491725768322,0.9852,0.9777689559348948,0.997714365,0.017887040459816105,0.03,0.0148
jpeg_70,20000,0.9782,0.9782,0.9696523276370065,0.9873,0.9783965910217025,0.99786928,0.017556094792973556,0.0309,0.0127
jpeg_50,20000,0.96845,0.96845,0.9688719847863076,0.968,0.9684357961082487,0.99556606,0.02451100113253088,0.0311,0.032
jpeg_30,20000,0.95785,0.95785,0.9654366168547321,0.9497,0.95750365478651,0.992367125,0.03340785165081688,0.034,0.0503
blur_0.5,20000,0.969,0.969,0.9847044233154196,0.9528,0.9684895303923562,0.99686826,0.02383798531212877,0.0148,0.0472
blur_1,20000,0.9537,0.9537,0.9631482237648019,0.9435,0.9532228733077389,0.991357435,0.03583234737513509,0.0361,0.0565
blur_2,20000,0.91705,0.91705,0.9354703978281299,0.8959,0.9152577003626705,0.97638043,0.06163580289244145,0.0618,0.1041
resize_0.5,20000,0.9509,0.9509,0.9545362903225807,0.9469,0.95070281124498,0.990286355,0.03801442800314232,0.0451,0.0531
resize_0.25,20000,0.91145,0.91145,0.9325134027120782,0.8871,0.9092399938502536,0.972476425,0.06673216178381537,0.0642,0.1129
noise_0.02,20000,0.97435,0.97435,0.9743974397439744,0.9743,0.9743487174358719,0.99728638,0.019865883675244923,0.0256,0.0257
noise_0.05,20000,0.9685,0.9684999999999999,0.9699097291875627,0.967,0.9684526790185277,0.995716635,0.02454655229236405,0.03,0.033
noise_0.1,20000,0.9518,0.9518,0.9537967055042186,0.9496,0.9516937261976349,0.990577405,0.0369153329674192,0.046,0.0504
color_0.8,20000,0.97175,0.97175,0.9725533406791546,0.9709,0.9717259670720112,0.99654062,0.021976214809143097,0.0274,0.0291
color_1.2,20000,0.9699,0.9699,0.9646035198734427,0.9756,0.9700705975937158,0.996382585,0.022928203194799483,0.0358,0.0244
crop_0.8,20000,0.9564,0.9563999999999999,0.9712928541924825,0.9406,0.9557000609632189,0.993119535,0.034265595478143306,0.0278,0.0594
