sha256,score,generator,source
841e80ba0535a8b8e4371debf4437bbdd276b96120db93d2f082d606a4d5b293,0.0026,danet,df40
574728582dbb710446a6a2b44d7c4065adc7ee70f8bd2eb9c6a9f86291a1e646,0.0045,danet,df40
b1ccbfb69137e9fbde8739c30444a8438e4538f86cce947c0f825105badbbd14,0.0046,mobileswap,df40
23a2b7737c63eae3513d0ac3fceaee0b0f69d6d7ea823e0c76fe218db3989e44,0.0046,SiT,df40
89232e8b0d218cf29089dd5147643c8a45d2046a7e804d200a781ec14ced497b,0.0055,danet,df40
86e86e047fb4f21c8c6e8eb53bae85b70e215c9a4ff5e16f0c7124d3795fa57f,0.0063,SiT,df40
ea1429a926c17dd13203fb6a3eacaf65afa76857f2a51df2c2842fb2c6e65f93,0.0067,danet,df40
8902a7c5a522f92fede1f6b5334b5245efe5d58c8229ed77d13b46c220eeaaeb,0.0084,hyperreenact,df40
b4d6f5c364630af6b6b20fbc13b077f5d22252e80edad927248d381ab7a69bd3,0.0101,SiT,df40
1a094219b396d3ac64b229c73226c22b9f7b521e760563d50e21a771c1404501,0.0103,danet,df40
54ff6d6c2c223ec6246b6069dd61ee245e8a508b78fbe26f1615e427d1b8859d,0.0110,mobileswap,df40
bc489116663eb29bcae796c07f9f5d034e472530592059473e8fdccb32a90654,0.0113,danet,df40
be7a9c7065243dda13054a4b745f053830760b4bd79c0b1515f714be8e8cd906,0.0114,mobileswap,df40
b84f643b65989a3cf0df1916b360f72c7f1ccc190a9c0d2df3dab8fcafde2d5f,0.0117,facedancer,df40
2d07aee94c7ad7632cf551bac677f659d113854469b3c86cbbeac60d51703125,0.0118,facedancer,df40
