sha256,score,generator,source
c0a0a5c1d566e7476b2176b96259c1a888163c7e7c32433193959de3de69aad6,1.0000,cdf_real,df40
cead90950ccf16a372e9b71d384d1473550583f4b9b993e79cdf6751fa9de91d,0.9999,cdf_real,df40
53e0276d1ccf5bc36e4b4b0b7832e28e823d00b7be2a8282869fbe165fb14811,0.9999,cdf_real,df40
1dada0f1422b0a8d74c57b43378ccf50b18388fbd50a60d7659f6346d8e5fd83,0.9998,cdf_real,df40
bfd3ec6290fac93afaa9e40b188b50a2ff0fbc9ac980aaf65e3e5b114ad02d7d,0.9997,cdf_real,df40
c65b4cdeabd4867632565a3d785b06a78f585d2518dd9ffb48a19635d7825f69,0.9997,cdf_real,df40
ddf3d6dcafa111a9418b9b358be108309a410b36df4e5f83a302dcfb668767d3,0.9996,cdf_real,df40
dba6f10529f6f2ea4b99010c1d8d13c2883661f0abf959af3956c896d6b2d36d,0.9996,cdf_real,df40
f6ea810d62897af60952390e8b08d6be61120afcd7ab708733abfa96bd05b180,0.9995,cdf_real,df40
fdb5523da1162df6ac34b26a79ec18d819e6d4e05f4308849d480a12b07c4945,0.9994,cdf_real,df40
e3aebfb0b19f1f645a325cff0348af6b2a143f2fb66f6188ace14bb4b4b86c14,0.9994,cdf_real,df40
be82337922db7ddee3f84b54704414a98461d0b9e581a98e72811c7ca45281c0,0.9993,cdf_real,df40
5b525a22da65ac4918c01cb746b436fba8775bb8f13eb83ff89cbe01e17a80c9,0.9990,cdf_real,df40
5c62a8267a014144b88dea470245a6bb2bf0de80d31bb8d4f843387d0a9c68bf,0.9988,cdf_real,df40
5424e1695708fd648294fb8aa9e575f91cf5bb1ef9e26999f539c0c4deb17b7d,0.9987,cdf_real,df40
