sha256,score,generator,source
a8a9b806b41dffb6bff7f0c6e6e2ca97725235e3a8929fda3845f6bfaebd86a0,1.0000,commfor_real,commfor_small
e2cbc028f10c89b6d2ac2b2f07759c3a71b7b47b346abcc69261f957dc97f22d,1.0000,commfor_real,commfor_small
5b21a4264c26596e6db3961e98f6de7dca95c87223f5cc467049a3ae48fe75ad,1.0000,,
06db3dbdd4fe4a2c6c350cc798319864a69b09af193a6c035c909e7fe5d082b9,1.0000,commfor_real,commfor_small
9602a803c5c1f6f2a2aac0769c7a92879a6816a023ed4ff0eb78afd3adf9193b,1.0000,commfor_real,commfor_small
967887bd4c0049448bba0c8c34035a67f962b00646b6996b430a3fbfa2b71066,1.0000,sid_real,sid_set
52cb132782495b0ac9cd316943b8133e246221ab3f7f3f4812106845d7c9ed69,0.9999,sid_real,sid_set
98701694e89d88f0407da663e9c49a45a3f20735c6abd52b77827a209e61094f,0.9999,commfor_real,commfor_small
7142e358467a3678fb72910b24223d598d970a34f8e6e762b6c699fe27894095,0.9998,sid_real,sid_set
1081e870afdc2046c18ffbe4aad7e962fa93e9ef9764c6180c2aaaf9751a8fdf,0.9998,,
b57cfd524f190e84527b66480a980d98c0469408d41df6e9625fe155fe5edb3c,0.9998,sid_real,sid_set
ce1723c0a07dd842a8e8a01815d498e1443e3131d7d15f8833f2674399a149ec,0.9996,,
3cdde120f98cabd569bd12945fdc9fb8a50dbf4a9d86b75c5e189d1c3553a805,0.9996,sid_real,sid_set
4d9746e8a1b59544e4bbbf9a9b04c78b45b612056e528dfbcafb7bae2d5058a2,0.9993,sid_real,sid_set
89cc4f559eb01a7ad5d173f61295d5d223407c7ea8c48b671254e9d0e5643343,0.9992,sid_real,sid_set
