condition,samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier,false_positive_rate,false_negative_rate
clean,20000,0.51535,0.51535,0.5121295930462267,0.6481,0.5721474288236592,0.54669803,0.4112734585400759,0.6174,0.3519
jpeg_90,20000,0.515,0.515,0.5116658889407373,0.6579,0.575640913465745,0.54665288,0.40905328077854,0.6279,0.3421
jpeg_70,20000,0.52405,0.52405,0.5198252411177974,0.6306,0.5698793547512538,0.55084999,0.41634317716003943,0.5825,0.3694
jpeg_50,20000,0.5255,0.5255,0.5211302618495194,0.6289,0.5699655609932933,0.550451205,0.42418602081803586,0.5779,0.3711
jpeg_30,20000,0.5211,0.5211,0.5162332666564087,0.671,0.5835290025219585,0.547999565,0.403886423907818,0.6288,0.329
blur_0.5,20000,0.5065,0.5065,0.5048449612403101,0.6773,0.5784933378886231,0.545195255,0.405670375051966,0.6643,0.3227
blur_1,20000,0.4809,0.4809,0.48909692887315903,0.8568,0.6227196743949415,0.512269825,0.3766236720806256,0.895,0.1432
blur_2,20000,0.5,0.5,0.5,1.0,0.6666666666666666,0.47054574,0.36261888440711526,1.0,0.0
resize_0.5,20000,0.4833,0.4833,0.49077857537272224,0.8888,0.6323728210601209,0.51992568,0.36382889148699776,0.9222,0.1112
resize_0.25,20000,0.49995,0.49995,0.4999749962494374,0.9998,0.6665999933326665,0.4747895,0.35451273920410303,0.9999,0.0002
noise_0.02,20000,0.52525,0.52525,0.5217691180274161,0.6052,0.5603963146441964,0.551811485,0.43250125787460886,0.5547,0.3948
noise_0.05,20000,0.5438,0.5438,0.5515901060070671,0.4683,0.5065440778799352,0.547977075,0.45786599020344737,0.3807,0.5317
noise_0.1,20000,0.53425,0.53425,0.608626704725658,0.1919,0.2917965483159735,0.53079018,0.48579829654277945,0.1234,0.8081
color_0.8,20000,0.47625,0.47625,0.4851516098780869,0.776,0.5970378919022888,0.503179275,0.39104005109019524,0.8235,0.224
color_1.2,20000,0.5408,0.5408000000000001,0.536923076923077,0.5933,0.5637054631828978,0.56205495,0.4202720811848084,0.5117,0.4067
crop_0.8,20000,0.4857,0.4857,0.4886218968809675,0.6141,0.5442219071251329,0.502116065,0.41879880568756755,0.6427,0.3859
