condition,samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier,false_positive_rate,false_negative_rate
clean,20000,0.5415,0.5415,0.5824066719618745,0.2933,0.39013035381750466,0.583340935,0.4516521386603402,0.2103,0.7067
jpeg_90,20000,0.54275,0.54275,0.582513028372901,0.3018,0.3976022659903827,0.584061565,0.4498849889958199,0.2163,0.6982
jpeg_70,20000,0.54185,0.54185,0.5931448920543066,0.2665,0.3677637480162837,0.589783565,0.4567806104144301,0.1828,0.7335
jpeg_50,20000,0.5396,0.5396,0.599,0.2396,0.34228571428571425,0.585329875,0.4639139124670577,0.1604,0.7604
jpeg_30,20000,0.5481,0.5481,0.5663082437275986,0.4108,0.47617943665237045,0.566246815,0.43525970434457606,0.3146,0.5892
blur_0.5,20000,0.5469,0.5468999999999999,0.5884238310708899,0.3121,0.40786722425509675,0.576855765,0.4478805032381882,0.2183,0.6879
blur_1,20000,0.50085,0.50085,0.500590154828855,0.721,0.5909109535712822,0.540335395,0.3853349531178237,0.7193,0.279
blur_2,20000,0.49985,0.49985,0.4999249737408093,0.9995,0.6664888473977262,0.47079322,0.3994621050497329,0.9998,0.0005
resize_0.5,20000,0.49605,0.49605,0.49754185076856056,0.7995,0.613372204534121,0.54648265,0.36398482951503974,0.8074,0.2005
resize_0.25,20000,0.4998,0.49979999999999997,0.4998999499749875,0.9993,0.6664221407135712,0.476994965,0.3957046699267778,0.9997,0.0007
noise_0.02,20000,0.50685,0.50685,0.5897771952817824,0.045,0.08361980860354919,0.54216407,0.4937645684442655,0.0313,0.955
noise_0.05,20000,0.50095,0.50095,0.620253164556962,0.0049,0.00972318682408969,0.4760529,0.4980425396811256,0.003,0.9951
noise_0.1,20000,0.5,0.5,0.5,0.0018,0.0035870864886408927,0.42947828,0.49783822789886173,0.0018,0.9982
color_0.8,20000,0.535,0.535,0.5592818428184282,0.3302,0.41524144869215296,0.558996875,0.4483853683645344,0.2602,0.6698
color_1.2,20000,0.54725,0.54725,0.584299732381802,0.3275,0.41973726369753284,0.59851944,0.44990283419299704,0.233,0.6725
crop_0.8,20000,0.5282,0.5282,0.5523191094619666,0.2977,0.38687459389213774,0.527313915,0.45150915614422255,0.2413,0.7023
