condition,samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier,false_positive_rate,false_negative_rate
clean,4375,0.8656,0.8636,0.8861066235864298,0.8776,0.8818327974276529,0.9432866133333333,0.20363342650226413,0.1504,0.1224
jpeg_90,4375,0.8349714285714286,0.8388,0.8895705521472392,0.812,0.849017147636972,0.9254581333333334,0.2572705098712408,0.1344,0.188
jpeg_70,4375,0.8317714285714286,0.8312666666666666,0.8659751037344399,0.8348,0.85010183299389,0.92129792,0.24061199994188232,0.17226666666666668,0.1652
jpeg_50,4375,0.8137142857142857,0.8082666666666667,0.8307813113466823,0.8464,0.8385179314444225,0.8991554133333334,0.2527031502898358,0.22986666666666666,0.1536
jpeg_30,4375,0.8118857142857143,0.8012,0.8102108768035516,0.876,0.8418220257543726,0.8946888533333334,0.2347518551709196,0.2736,0.124
blur_0.5,4375,0.8486857142857143,0.8482666666666667,0.880066170388751,0.8512,0.865392435949573,0.9348349866666666,0.21545812794127553,0.15466666666666667,0.1488
blur_1,4375,0.8139428571428572,0.8011999999999999,0.8047722342733189,0.8904,0.8454234713254842,0.90203776,0.21868039683611826,0.288,0.1096
blur_2,4375,0.7764571428571428,0.75,0.7412809131261889,0.9352,0.827025114962858,0.8591541333333333,0.2254147134103511,0.4352,0.0648
resize_0.5,4375,0.808,0.7988666666666666,0.8127354935945742,0.8628,0.8370197904540163,0.8975458133333334,0.2465349202290258,0.2650666666666667,0.1372
resize_0.25,4375,0.7282285714285714,0.7008000000000001,0.7078972407231209,0.8928,0.7896692021935257,0.7904829866666667,0.27769540394691866,0.4912,0.1072
noise_0.02,4375,0.8404571428571429,0.8268666666666666,0.8208689458689459,0.922,0.8685003767897513,0.9296808533333333,0.17531976303736674,0.26826666666666665,0.078
noise_0.05,4375,0.8116571428571429,0.7909999999999999,0.7791472351765489,0.9356,0.8502362777171938,0.91524032,0.16249345047750824,0.3536,0.0644
noise_0.1,4375,0.752,0.7143333333333333,0.7035971223021583,0.978,0.8184100418410043,0.8885557333333334,0.14508564496266543,0.5493333333333333,0.022
color_0.8,4375,0.8470857142857143,0.8506,0.8982166159199652,0.826,0.860595957491144,0.93286272,0.24197484765660032,0.1248,0.174
color_1.2,4375,0.8116571428571429,0.7896666666666667,0.7754766600920447,0.9436,0.8513172140021652,0.9120804266666667,0.16313150161499496,0.3642666666666667,0.0564
crop_0.8,4375,0.8434285714285714,0.8362666666666667,0.8467711119602599,0.8864,0.8661324995114326,0.9285377066666667,0.2078047358552063,0.21386666666666668,0.1136
