condition,samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier,false_positive_rate,false_negative_rate
clean,2000,0.496,0.496,0.49796747967479676,0.98,0.660377358490566,0.312806,0.464261356843366,0.988,0.02
jpeg_90,2000,0.493,0.493,0.4964467005076142,0.978,0.6585858585858586,0.303953,0.47043498745020557,0.992,0.022
jpeg_70,2000,0.4935,0.4935,0.49669211195928753,0.976,0.6583473861720067,0.311818,0.4665743369720631,0.989,0.024
jpeg_50,2000,0.497,0.497,0.4984894259818731,0.99,0.6630944407233758,0.288253,0.4907075995347283,0.996,0.01
jpeg_30,2000,0.497,0.497,0.49848790322580644,0.989,0.6628686327077747,0.3335015,0.4866516191105206,0.995,0.011
blur_0.5,2000,0.49,0.49,0.49490835030549896,0.972,0.6558704453441295,0.3195335,0.46799028539705134,0.992,0.028
blur_1,2000,0.4895,0.4895,0.4946070878274268,0.963,0.6535459789616559,0.353506,0.4763501027425436,0.984,0.037
blur_2,2000,0.499,0.499,0.499496475327291,0.992,0.6644340254521098,0.409027,0.4388760839911346,0.994,0.008
resize_0.5,2000,0.4855,0.4855,0.4924831518921721,0.95,0.6486855582109935,0.371426,0.4684879067339002,0.979,0.05
resize_0.25,2000,0.5,0.5,0.5,0.997,0.665998663994656,0.417321,0.43599607275436325,0.997,0.003
noise_0.02,2000,0.4805,0.48050000000000004,0.48973143759873616,0.93,0.6416005519144532,0.298834,0.4833857614084535,0.969,0.07
noise_0.05,2000,0.473,0.47300000000000003,0.4859228362877998,0.932,0.6387936943111721,0.288137,0.4916634989451381,0.986,0.068
noise_0.1,2000,0.498,0.498,0.4989929506545821,0.991,0.6637642330877428,0.337602,0.4612967773544584,0.995,0.009
color_0.8,2000,0.4835,0.4835,0.49146404552509054,0.95,0.647800886464371,0.31323,0.4787445098091079,0.983,0.05
color_1.2,2000,0.499,0.499,0.4994959677419355,0.991,0.6642091152815013,0.349644,0.4630460644225279,0.993,0.009
crop_0.8,2000,0.4965,0.4965,0.4982367758186398,0.989,0.6626465661641541,0.2844255,0.4894204653762754,0.996,0.011
